name,commonName_x,scientificName_x,status,commonName_y,scientificName_y
Acanthiza pusilla archibaldi,King Island Brown Thornbill,Acanthiza pusilla archibaldi,added,,
Androcalva perkinsiana,,Androcalva perkinsiana,added,,
Asplenium wildii,,Asplenium wildii,added,,
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Asterolasia asteriscophora subsp. albiflora,added,,
Bertya sp. Clouds Creek (M. Fatemi 4),,Bertya sp. Clouds Creek (M.Fatemi 4),added,,
Budawangia gnidioides,Budawangs Cliff-heath,Epacris gnidioides,added,,
Calamanthus cautus halmaturinus,Shy Heathwren (kangaroo Island),Hylacola cauta halmaturinus,added,,
Calamanthus pyrrhopygius parkeri,Chestnut-rumped Heathwren (mount Lofty Ranges),Hylacola pyrrhopygia parkeri,added,,
Calochilus pulchellus,Pretty Beard Orchid,Calochilus pulchellus,added,,
Calyptorhynchus baudinii,Baudin's Black-cockatoo,Zanda baudinii,added,,
Calyptorhynchus latirostris,Carnaby's Cockatoo,Calyptorhynchus latirostris,added,,
Chiloglottis anaticeps,Bird Orchid,Chiloglottis anaticeps,added,,
Ctenotus serotinus,Gravel-downs Ctenotus,Ctenotus serotinus,added,,
Denhamia megacarpa,Large-fruited Denhamia,Denhamia megacarpa,added,,
Geocrinia alba,White-bellied Frog,Geocrinia alba,added,,
Geocrinia vitellina,Yellow-bellied Frog,Geocrinia vitellina,added,,
Hemiaspis damelii,Grey Snake,Hemiaspis damelii,added,,
Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),,Hibbertia sp. Toolbrunup (J.R.Wheeler 2504),added,,
Hypolepis distans,Scrambling Ground-fern,Hypolepis distans,added,,
Keyacris scurra,Key's Matchstick Grasshopper,Keyacris scurra,added,,
Leucopogon sp. Coolmunda (D.Halford Q1635),,Leucopogon sp. Coolmunda (D.Halford Q1635),added,,
Lycopodium volubile,Waekāhu,Lycopodium volubile,added,,
Macrozamia johnsonii,Johnson's Cycad,Macrozamia johnsonii,added,,
Marattia salicina,King Fern,Ptisana salicina,added,,
Marsdenia araujacea,,Marsdenia araujacea,added,,
Marsdenia brevifolia,,Marsdenia brevifolia,added,,
Marsdenia longiloba,Slender Marsdenia,Marsdenia longiloba,added,,
Marsdenia paludicola,,Marsdenia paludicola,added,,
Melanotaenia sp. nov. 'Malanda',,Melanotaenia,added,,
Notamacropus parma,Parma Wallaby,Notamacropus parma,added,,
Perameles bougainville bougainville,Shark Bay Bandicoot,Perameles bougainville,added,,
Perameles bougainville fasciata,Western Barred Bandicoot (mainland),Perameles bougainville fasciata,added,,
Perameles myosurus,Marl,Perameles myosuros,added,,
Phalaenopsis amabilis subsp. rosenstromii,Native Moth Orchid,Phalaenopsis rosenstromii,added,,
Pleuropappus phyllocalymmeus,Silver Candles,Angianthus phyllocalymmeus,added,,
Pomaderris gilmourii var. gilmourii,,Pomaderris gilmourii var. gilmourii,added,,
Prasophyllum littorale,Coastal Leek Orchid,Prasophyllum litorale,added,,
Psophodes nigrogularis lashmari,White-bellied Whipbird (ki),Psophodes (Phodopses) leucogaster lashmari,added,,
Pultenaea sp. Genowlan Point (NSW 417813),Genowlan Pultenaea,Pultenaea sp. Genowlan Point (NSW 417813),added,,
Stagonopleura bella samueli,,Stagonopleura (Zonaeginthus) bella samueli,added,,
Tylophora linearis,,Tylophora linearis,added,,
Tylophora rupicola,,Tylophora rupicola,added,,
Tylophora woollsii,Cryptic Forest Twiner,Tylophora woollsii,added,,
Acanthiza pusilla magnirostris,,,removed,,
Angianthus phyllocalymmeus,,,removed,,
Anstisia alba,,,removed,,
Anstisia vitellina,,,removed,,
Epacris gnidioides,,,removed,,
Hibbertia barrettiae,,,removed,,
Hiya distans,,,removed,,
Hylacola cauta halmaturina,,,removed,,
Hylacola pyrrhopygia parkeri,,,removed,,
Hymenasplenium wildii,,,removed,,
Leichhardtia araujacea,,,removed,,
Leichhardtia brevifolia,,,removed,,
Leichhardtia longiloba,,,removed,,
Leichhardtia paludicola,,,removed,,
Perameles bougainville,,,removed,,
Perameles fasciata,,,removed,,
Perameles myosuros,,,removed,,
Phalaenopsis rosenstromii,,,removed,,
Pseudodiphasium  volubile,,,removed,,
Psophodes leucogaster lashmari,,,removed,,
Ptisana salicina,,,removed,,
Pultenaea praecipua  subsp. praecipua,,,removed,,
Styphelia sp. Coolmunda (D.Halford Q1635),,,removed,,
Vincetoxicum forsteri,,,removed,,
Vincetoxicum rupicola,,,removed,,
Vincetoxicum woollsii,,,removed,,
Zanda baudinii,,,removed,,
Zanda latirostris,,,removed,,
