scientificName,vernacularName,status,taxonRemarks,sourceStatus
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,,Critically Endangered 
Lathamus discolor,Swift Parrot,Critically Endangered,,Critically Endangered 
Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered,,Critically Endangered 
Caladenia actensis,Canberra Spider Orchid,Critically Endangered,,Critically Endangered 
Corunastylis ectopa,Brindabella Midge Orchid,Critically Endangered,,Critically Endangered 
Pterostylis oreophila,Kiandra Greenhood,Critically Endangered,,Critically Endangered 
Litoria castanea,Yellow-spotted Bell Frog,Critically Endangered,locally extinct,Critically Endangered 
Gentiana baeuerlenii,Baeuerlen's Gentian,Endangered,,Endangered
Prasophyllum petilum,Tarengo Leek Orchid,Endangered,,Endangered
Rutidosis leptorhynchoides,Button Wrinklewort,Endangered,,Endangered
Swainsona recta,Small Purple Pea,Endangered,,Endangered
Synemon plana,Golden Sun Moth,Endangered,,Endangered
Tympanocryptis pinguicolla,Grassland Earless Dragon,Endangered,,Endangered
Macquaria australasica,Macquarie Perch,Endangered,,Endangered
Maccullochella macquariensis,Trout Cod,Endangered,,Endangered
Petrogale penicillata,Brush-tailed Rock-wallaby,Endangered,,Endangered
Pseudomys fumeus,Smoky Mouse,Endangered,,Endangered
Muehlenbeckia tuggeranong,Tuggeranong Lignum,Endangered,,Endangered
Lepidium ginninderrense,Ginninderra Peppercress,Endangered,,Endangered
Bidyanus bidyanus,Silver Perch,Endangered,,Endangered
Bossiaea grayi,Murrumbidgee Bossiaea,Endangered,,Endangered
Botaurus poiciloptilus,Australasian Bittern,Endangered,,Endangered
Dasyurus viverrinus,Eastern Quoll,Endangered,,Endangered
Isoodon obesulus obesulus,Southern Brown Bandicoot (Eastern),Endangered,,Endangered
Rostratula australis,Australian Painted Snipe,Endangered,,Endangered
Delma impar,Striped Legless Lizard,Vulnerable,,Vulnerable
Gadopsis bispinosus,Two-spined Blackfish,Vulnerable,,Vulnerable
Euastacus armatus,Murray River Crayfish,Vulnerable,,Vulnerable
Perunga ochracea,Perunga Grasshopper,Vulnerable,,Vulnerable
Melanodryas cucullata cucullata,Hooded Robin,Vulnerable,,Vulnerable
Polytelis swainsonii,Superb Parrot,Vulnerable,,Vulnerable
Climacteris picumnus victoriae,Brown Treecreeper,Vulnerable,,Vulnerable
Grantiella picta,Painted Honeyeater,Vulnerable,,Vulnerable
Dasyurus maculatus maculatus,Spotted-tailed Quoll,Vulnerable,,Vulnerable
Daphoenositta chrysoptera,Varied Sittella,Vulnerable,,Vulnerable
Lalage tricolor,White-winged Triller,Vulnerable,,Vulnerable
Hieraaetus morphnoides,Little Eagle,Vulnerable,,Vulnerable
Aprasia parapulchella,Pink-tailed Worm-lizard,Vulnerable,,Vulnerable
Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Vulnerable,,Vulnerable
Petroica boodang,Scarlet Robin,Vulnerable,,Vulnerable
Mastacomys fuscus mordicus,Broad-toothed Rat (mainland),Vulnerable,,Vulnerable
Petauroides volans,Greater Glider,Vulnerable,,Vulnerable
Phascolarctos cinereus,Koala (QLD/NSW/ACT population),Vulnerable,,Vulnerable
Pseudomys novaehollandiae,New Holland Mouse,Vulnerable,,Vulnerable
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,,Vulnerable
Litoria aurea,Green and Golden Bell Frog,Vulnerable,locally extinct,Vulnerable
Litoria raniformis,Southern Bell Frog,Vulnerable,locally extinct,Vulnerable
Litoria verreauxii alpina,Alpine Tree Frog,Vulnerable,,Vulnerable
Eucalyptus aggregata,Black Gum,Vulnerable,,Vulnerable
Pomaderris pallida,Pale Pomaderris,Vulnerable,,Vulnerable
Thesium australe,Austral Toadflax,Vulnerable,,Vulnerable
Hirundapus caudacutus,White-throated Needletail,Vulnerable,,Vulnerable
Bettongia gaimardi,Eastern Bettong,Conservation Dependent,,Regionally Conservation Dependent
