name,scientificName_old,scientificName_new,commonName_old,commonName_new,status_old,status_new,listUpdate
Callocephalon fimbriatum,,Callocephalon fimbriatum,,Gang-gang Cockatoo,,Endangered,added
Keyacris scurra,,Keyacris scurra,,Key's Matchstick Grasshopper,,Endangered,added
Liopholis montana,,Liopholis montana,,,,Endangered,added
Petaurus australis,,Petaurus australis,,Yellow-bellied Glider,,Vulnerable,added
Pycnoptilus floccosus,,Pycnoptilus floccosus,,Pilotbird,,Vulnerable,added
Tympanocryptis pinguicolla,Tympanocryptis pinguicolla,,Grassland Earless Dragon,,Endangered,,removed
Callocephalon fimbriatum,,Callocephalon fimbriatum,,Gang-gang Cockatoo,,Endangered,status change
Keyacris scurra,,Keyacris scurra,,Key's Matchstick Grasshopper,,Endangered,status change
Liopholis montana,,Liopholis montana,,,,Endangered,status change
Melanodryas cucullata cucullata,,Melanodryas (Melanodryas) cucullata cucullata,,Hooded Robin (south-eastern Form),Vulnerable,Endangered,status change
Petauroides volans,,Petauroides volans,,Greater Glider,Vulnerable,Endangered,status change
Petaurus australis,,Petaurus australis,,Yellow-bellied Glider,,Vulnerable,status change
Phascolarctos cinereus,,Phascolarctos cinereus,,Koala,Vulnerable,Endangered,status change
Pycnoptilus floccosus,,Pycnoptilus floccosus,,Pilotbird,,Vulnerable,status change
Synemon plana,,Synemon plana,,Golden Sun Moth,Endangered,Vulnerable,status change
Tympanocryptis lineata,,Tympanocryptis lineata,,Grassland Earless Dragon,Endangered,Critically Endangered,status change
